0H 0L 1H 1L 2H 2L 3H 3L 4H 4L
1.147060 1.120106 1.076770 1.113893 0.606129 0.762418 1.115481 1.089929 1.138911 1.107680

0.972862 1.009161 0.641783 1.010936 1.121593 1.102355 0.690681 1.120106 0.900534 0.903541

1.118537 1.097030 1.140948 1.193774 1.217351 0.897328 1.058433 1.087266 1.185771 1.185786

0.831262 1.039338 0.920908 1.163597 0.965731 0.941706 0.964712 1.171585 0.761990 1.054427

1.006479 1.106793 1.126686 0.828098 0.778290 0.994960 1.083901 0.907091 1.120574 1.076616

1.102237 0.996735 0.962675 1.210638 0.932114 0.812121 1.019722 1.083716 0.968787 0.963895

1.072695 0.991410 0.940264 1.010048 1.129742 1.133420 0.903590 1.093479 1.150117 1.046439

0.834318 0.994072 0.948413 0.899990 0.936189 0.799696 0.952488 0.884014 0.725317 0.982534

0.955544 1.116556 1.215314 0.789045 0.996292 1.023362 1.210220 0.792595 1.063527 1.137858

0.903590 0.832535 0.872010 1.165372 0.944338 0.904428 0.909702 1.113893 0.844505 0.724253

1.146042 1.129870 0.821075 1.078391 1.319221 1.028687 0.791533 1.160047 1.205127 1.265667

0.916833 1.009161 1.014629 1.050876 0.489997 1.005611 0.976937 1.019812 0.797645 0.865375

1.202070 1.055314 0.921927 1.104130 1.175584 1.159159 0.948413 1.069515 1.340614 1.196437

1.330427 0.989634 1.187809 0.740229 1.146042 0.855612 1.164378 0.817447 1.258099 0.974546

0.826169 1.035788 0.743654 1.192887 1.147060 1.065965 0.788477 1.073065 0.838393 1.060640

0.835337 0.996735 1.019722 1.204425 0.798664 0.952357 0.955544 1.265667 0.846543 0.961232

1.069639 0.895553 1.171509 0.776619 1.192902 0.985197 1.189846 0.832535 1.149098 0.912416

1.028891 0.994072 0.976937 1.081941 0.804776 1.040226 1.009535 0.975433 0.967769 1.064190

0.793570 1.171585 1.083901 1.093479 1.111406 1.041113 1.042134 1.145846 0.757916 1.099692

0.997311 0.986972 1.020741 0.903541 0.894422 0.955907 1.031947 0.917742 1.083901 0.933718

1.157247 0.929280 0.936189 0.967445 1.158266 1.111231 0.958600 0.905316 1.140948 1.045551

0.757916 1.137858 1.022779 0.884014 0.847562 0.963007 1.007498 0.929280 0.712074 1.067740

1.020741 0.955019 0.883216 0.899103 1.112425 0.751767 0.904609 0.878689 1.065564 0.901766

1.090013 0.970108 1.047227 1.155609 0.821075 0.980759 1.048246 1.118331 1.083901 0.981646

0.992217 0.976321 0.893403 0.927505 0.915815 0.988747 0.900534 1.002060 0.919889 1.073065

1.120574 1.152059 0.930077 1.153834 1.076770 0.931055 0.935170 1.102355 1.193921 1.083716

1.108350 1.192887 1.050284 0.977208 1.083901 1.059752 1.009535 1.031350 1.072695 1.090817

0.716149 0.978984 0.930077 0.976321 1.053340 1.005611 0.954525 0.938156 0.684569 1.019812

1.004442 0.933718 1.166416 0.932830 1.108350 1.172473 1.139930 0.957682 1.062508 1.038450

1.062508 1.127207 0.999348 1.012711 0.872010 0.846737 1.043153 0.983421 1.056396 1.079278

1.222445 0.892890 0.895441 0.891115 0.887291 1.012711 0.881179 0.938156 1.184752 0.755317

0.805795 1.034013 0.957582 1.086379 1.178640 0.894665 0.932114 1.038450 0.805795 1.191999

1.063527 1.026025 0.799682 1.025137 0.857749 1.083716 0.825150 1.035788 1.092050 1.029575
1.044171 0.915967 1.179659 0.862713 1.149098 0.931055 1.162341 0.921292 1.015648 0.830760

1.047227 1.172473 0.634652 1.039338 0.977956 0.970108 0.689662 0.976321 1.012592 1.234602

0.889328 1.083716 1.243837 0.944369 0.967769 0.961232 1.158266 0.977208 0.939245 1.046439

0.710037 0.945256 0.760972 1.206200 0.846543 1.026912 0.841449 1.175135 0.736523 0.979871

1.110387 0.986972 1.202070 0.851174 1.344689 0.976321 1.136873 0.929280 1.160304 0.981646

1.169472 1.014486 1.079826 0.902653 0.832281 1.070403 1.115481 0.806796 1.090013 0.955907
1.153173 1.000285 1.015648 1.056202 1.128724 1.033125 1.005461 1.066853 1.167435 1.084604

0.817000 1.068628 0.844505 1.028687 1.100200 1.138745 0.864879 1.081054 0.779308 1.034013

1.059452 0.985197 1.073714 1.123657 1.020741 0.891115 1.049265 1.110343 1.120574 0.963895

0.824131 1.095255 0.842468 0.781057 0.903590 0.947919 0.870992 0.823660 0.779308 1.128982

1.026853 0.819222 0.905628 1.107680 0.837374 0.991410 0.870992 1.005611 1.073714 0.784607

1.084920 1.097030 1.097144 0.805021 0.889328 1.028687 1.084920 0.898215 1.050284 1.186674

1.051302 1.141408 0.755878 1.242590 1.030928 0.804133 0.814963 1.151171 1.032966 1.082829

1.021760 0.826323 0.860805 1.133420 1.048246 1.020699 0.819038 1.184011 1.062508 0.800583

0.986105 1.002948 0.985087 0.728690 0.986105 0.864488 0.969806 0.800583 0.988143 1.044663

0.848580 1.042001 1.364044 1.258566 1.084920 0.852062 1.365063 1.136970 0.836356 1.032237

1.109368 1.076616 0.884235 0.900878 0.997311 0.981646 0.934151 0.979871 1.099181 1.101468

1.015648 0.749992 1.006479 1.060640 0.860805 1.055314 0.988143 1.013599 1.030928 0.683425

0.920908 1.094367 0.828206 0.983421 1.112425 0.996735 0.792552 0.963895 0.911740 1.178686

1.007498 1.202650 1.150117 1.072178 1.017685 0.952357 1.151135 1.120994 1.028891 1.128982

1.030928 0.870701 1.138911 1.179573 1.150117 0.899990 1.174565 1.171585 0.971843 0.885789

1.193921 0.921292 1.122612 0.981646 0.974899 1.282531 1.119555 0.990522 1.260137 0.941706

0.825150 0.899990 1.131780 1.015374 0.863861 0.868926 1.122612 0.996735 0.689662 0.864488

1.158266 1.066853 0.519539 0.876026 0.779308 0.920404 0.565381 0.902653 1.251987 1.084604

0.984068 1.030462 1.225501 1.120106 1.042134 1.077503 1.148079 1.085491 0.923964 1.078391

1.091032 1.230164 0.568437 0.748217 0.983049 0.899990 0.626503 0.799696 1.200033 1.198212

0.940264 0.765968 1.117518 0.872476 1.010554 0.953244 1.069639 0.817447 0.850618 0.615082

